,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,4,52,52,4039128,4134722,6443851,6,1004,0,0,6
1,5,40,52,5703594,5703743,6582053,1,1007,11,40,3
2,6,75,127,393235,424893,6483582,1,1008,0,0,4
3,7,50,177,3685749,3739270,6467025,1,1010,1,0,4
4,8,39,216,2691627,2728510,6441415,17,1011,2,0,5
5,9,30,246,5362815,5498977,6454955,17,1014,0,0,9
6,10,33,279,6190233,6273245,6493971,17,1014,0,0,0
7,11,63,342,2038190,2093065,6408827,17,1011,0,0,0
8,12,47,389,3453640,3563698,6365891,17,1010,0,0,0
9,13,50,439,3304005,3397777,6312160,17,1009,0,0,0
10,14,74,513,272403,299998,6142840,28,1004,0,0,8
11,15,55,568,2396650,2487752,6028860,28,1009,0,0,2
12,16,53,621,3917162,4019941,5983872,28,1018,0,0,0
13,17,65,686,1946850,2034444,5859883,28,1020,0,0,0
14,18,56,738,555604,558721,5646536,21,1019,3,4,0
15,19,35,765,6222410,6225699,5836657,29,1019,3,8,2
16,20,65,830,1339127,1434058,5670870,29,1021,0,0,0
17,21,54,864,2426976,2427133,5756773,0,1021,7,20,5
18,22,56,920,3731822,3868225,5742411,0,1023,0,0,6
19,23,30,950,6337042,6417097,5852718,0,1029,0,0,15
20,24,42,992,5661193,5679457,5903185,9,1029,2,0,7
21,25,37,1029,5354424,5472547,5947298,9,1030,0,0,0
22,26,63,1092,2393349,2414314,5854871,4,1028,2,0,8
23,27,61,1153,679571,731364,5693962,4,1027,0,0,2
24,28,24,1177,3853444,4028505,5672499,4,1027,0,0,0
25,29,66,1243,1077725,1143704,5478265,4,1024,0,0,1
26,30,0,1243,1,5539977,5475874,4,1021,0,0,0
27,31,0,1243,1,6338468,5475752,4,1021,0,0,0
28,32,0,1243,1,6344159,5475644,4,1019,0,0,0
29,33,0,1243,1,6406446,5475585,4,1021,0,0,0
30,34,0,1243,1,6408168,5475539,4,1021,0,0,0
31,35,0,1243,1,6418096,5475484,4,1021,0,0,0
32,36,0,1243,1,6420174,5475445,4,1021,0,0,0
33,37,0,1243,1,6423325,5475406,4,1021,0,0,0
34,38,0,1243,1,6421352,5475371,4,1021,0,0,0
35,39,77,1320,2031488,2031650,5285735,0,1003,21,0,2
36,40,74,1394,1721104,1737768,5095326,1,1004,1,0,2
37,41,53,1447,3346693,3359707,5039260,6,1008,1,0,3
38,42,46,1489,4397573,4408481,5050723,48,1009,2,4,2
39,43,62,1547,3419559,3431138,4994447,8,1012,2,4,0
